width,q,F,iterationNumber,seed,s_max,s_mean,is_frozen,steps_to_freeze,N
20,2,3,99,339018524,1.0,1.0,True,428656,
20,2,3,425,392758085,1.0,1.0,True,541484,
20,2,3,322,392364865,1.0,1.0,True,355549,
20,2,3,417,392758086,1.0,1.0,True,575705,
20,2,3,178,393020234,1.0,1.0,True,420837,
20,2,3,335,392692549,1.0,1.0,True,1002836,
20,2,3,429,393020233,1.0,1.0,True,716413,
20,2,3,194,393020232,1.0,1.0,True,758828,
20,2,3,474,393347913,1.0,1.0,True,1001517,
20,2,3,301,392037182,1.0,1.0,True,516632,
20,2,3,426,392823622,1.0,1.0,True,946509,
20,2,3,5,286589663,1.0,1.0,True,842808,
20,2,3,106,391971649,1.0,1.0,True,549419,
20,2,3,94,338690839,1.0,1.0,True,961614,
20,2,3,206,392168258,1.0,1.0,True,446430,
20,2,3,12,337511181,1.0,1.0,True,1428787,
20,2,3,314,392364866,1.0,1.0,True,553986,
20,2,3,472,393216839,1.0,1.0,True,921016,
20,2,3,451,392889156,1.0,1.0,True,2018112,
20,2,3,143,392299330,1.0,1.0,True,407076,
20,2,3,73,338363156,1.0,1.0,True,413367,
20,2,3,104,391840575,1.0,1.0,True,477131,
20,2,3,298,393478989,1.0,1.0,True,469087,
20,2,3,133,392168257,1.0,1.0,True,596118,
20,2,3,130,391971646,1.0,1.0,True,1045188,
20,2,3,330,392364864,1.0,1.0,True,556914,
20,2,3,71,338232082,1.0,1.0,True,371660,
20,2,3,126,392233795,1.0,1.0,True,983558,
20,2,3,421,392495937,1.0,1.0,True,539508,
20,2,3,179,393085771,1.0,1.0,True,490528,
20,2,3,244,392561476,1.0,1.0,True,799352,
20,2,3,37,338101012,1.0,1.0,True,512171,
20,2,3,39,338232086,1.0,1.0,True,664877,
20,2,3,424,392692548,1.0,1.0,True,1051608,
20,2,3,254,392692549,1.0,1.0,True,1002836,
20,2,3,342,392627011,1.0,1.0,True,841745,
20,2,3,24,337773328,1.0,1.0,True,1051245,
20,2,3,141,392168256,1.0,1.0,True,1383342,
20,2,3,89,338887451,1.0,1.0,True,903615,
20,2,3,148,392627015,1.0,1.0,True,1369574,
20,2,3,51,337969936,1.0,1.0,True,1781718,
20,2,3,48,338297622,1.0,1.0,True,1799502,
20,3,3,338,393413449,1.0,1.0,True,392508,
20,3,3,249,393413450,1.0,1.0,True,830504,
20,3,3,28,338494229,1.0,1.0,True,526533,
20,3,3,344,393282374,1.0,1.0,True,1303359,
20,3,3,298,394003278,1.0,1.0,True,1050771,
20,3,3,123,392561473,1.0,1.0,True,541490,
20,3,3,361,393347909,1.0,1.0,True,1351955,
20,3,3,98,339411740,1.0,1.0,True,983563,
20,3,3,142,392758082,1.0,1.0,True,791256,
20,3,3,31,338166543,1.0,1.0,True,958709,
20,3,3,460,393478981,1.0,1.0,True,812178,
20,3,3,79,339215131,1.0,1.0,True,1141593,
20,3,3,452,393478982,1.0,1.0,True,1023997,
20,3,3,25,338297618,1.0,1.0,True,704401,
20,3,3,66,338887447,1.0,1.0,True,1577832,
20,3,3,30,338101006,1.0,1.0,True,831307,
20,3,3,395,394003276,1.0,1.0,True,1098548,
20,3,3,310,392627007,1.0,1.0,True,1426626,
20,3,3,210,392430398,1.0,1.0,True,1032884,
20,3,3,41,338297616,1.0,1.0,True,797294,
20,3,3,13,338035471,1.0,1.0,True,1042783,
20,3,3,68,339018521,1.0,1.0,True,1124297,
20,3,3,5,286982880,1.0,1.0,True,445490,
20,3,3,409,393282376,1.0,1.0,True,537235,
20,3,3,164,393151302,1.0,1.0,True,676054,
20,3,3,283,393544520,1.0,1.0,True,873502,
20,3,3,67,338952984,1.0,1.0,True,456644,
20,3,3,135,392823620,1.0,1.0,True,607728,
20,3,3,276,393610058,1.0,1.0,True,1892760,
