width,N,q,F,seed,s_max,s_mean,steps_to_freeze,is_frozen
10,100,2,3,338297622,1.0,1.0,60139,True
10,100,2,3,338166548,1.0,1.0,43596,True
10,100,2,3,338232085,1.0,1.0,64728,True
10,100,2,3,338428696,1.0,1.0,61514,True
10,100,2,3,338232084,1.0,1.0,37556,True
10,100,2,3,338297621,1.0,1.0,29964,True
10,100,2,3,338559770,1.0,1.0,58860,True
10,100,2,3,338166547,1.0,1.0,53992,True
10,100,2,3,338363158,1.0,1.0,29798,True
10,100,2,3,338101010,1.0,1.0,86543,True
10,100,2,3,338428695,1.0,1.0,35088,True
10,100,2,3,338363159,1.0,1.0,78279,True
10,100,2,3,338494232,1.0,1.0,39268,True
10,100,2,3,338559769,1.0,1.0,61097,True
10,100,2,3,338690843,1.0,1.0,77487,True
10,100,2,3,338625306,1.0,1.0,103741,True
15,225,2,3,287376100,1.0,1.0,144908,True
15,225,2,3,287245026,1.0,1.0,158754,True
15,225,2,3,287048415,1.0,1.0,265482,True
15,225,2,3,286982878,1.0,1.0,268833,True
15,225,2,3,287310563,1.0,1.0,223992,True
15,225,2,3,338363151,1.0,1.0,143296,True
15,225,2,3,287572711,1.0,1.0,196936,True
15,225,2,3,287179489,1.0,1.0,340358,True
15,225,2,3,287441637,1.0,1.0,348331,True
15,225,2,3,287507174,1.0,1.0,305993,True
15,225,2,3,287113952,1.0,1.0,486599,True
15,225,2,3,338690836,1.0,1.0,155203,True
15,225,2,3,338494225,1.0,1.0,237867,True
15,225,2,3,338821910,1.0,1.0,161196,True
15,225,2,3,338625299,1.0,1.0,266149,True
15,225,2,3,338559762,1.0,1.0,281529,True
15,225,2,3,338887447,1.0,1.0,172427,True
15,225,2,3,338952984,1.0,1.0,177753,True
15,225,2,3,338559761,1.0,1.0,213487,True
15,225,2,3,338690835,1.0,1.0,124765,True
15,225,2,3,338756373,1.0,1.0,350191,True
15,225,2,3,338428688,1.0,1.0,560670,True
15,225,2,3,338494224,1.0,1.0,444983,True
15,225,2,3,338625298,1.0,1.0,305049,True
15,225,2,3,338821909,1.0,1.0,188473,True
15,225,2,3,338887446,1.0,1.0,172446,True
15,225,2,3,338756372,1.0,1.0,363479,True
15,225,2,3,338952983,1.0,1.0,257601,True
15,225,2,3,339018520,1.0,1.0,180745,True
15,225,2,3,338625297,1.0,1.0,258684,True
15,225,2,3,338821908,1.0,1.0,117452,True
15,225,2,3,339084057,1.0,1.0,332646,True
15,225,2,3,338690834,1.0,1.0,251709,True
15,225,2,3,338756371,1.0,1.0,307208,True
15,225,2,3,339018519,1.0,1.0,134812,True
15,225,2,3,338952982,1.0,1.0,218313,True
15,225,2,3,339149593,1.0,1.0,210954,True
15,225,2,3,338887445,1.0,1.0,485771,True
15,225,2,3,339084056,1.0,1.0,259040,True
15,225,2,3,339215130,1.0,1.0,270922,True
15,225,2,3,339018518,1.0,1.0,129476,True
15,225,2,3,338821907,1.0,1.0,112711,True
15,225,2,3,338952981,1.0,1.0,219767,True
15,225,2,3,338756370,1.0,1.0,445682,True
15,225,2,3,339215129,1.0,1.0,129518,True
15,225,2,3,339149592,1.0,1.0,140514,True
15,225,2,3,338887444,1.0,1.0,450885,True
15,225,2,3,339346203,1.0,1.0,166091,True
15,225,2,3,339280664,1.0,1.0,172517,True
15,225,2,3,339084055,1.0,1.0,211290,True
15,225,2,3,339411738,1.0,1.0,191495,True
15,225,2,3,339346201,1.0,1.0,243133,True
15,225,2,3,339608349,1.0,1.0,147676,True
15,225,2,3,339542812,1.0,1.0,274688,True
15,225,2,3,339149589,1.0,1.0,166070,True
15,225,2,3,339280663,1.0,1.0,169188,True
15,225,2,3,339477275,1.0,1.0,336315,True
15,225,2,3,339215126,1.0,1.0,231959,True
15,225,2,3,339542811,1.0,1.0,161261,True
15,225,2,3,339411737,1.0,1.0,248718,True
15,225,2,3,339477274,1.0,1.0,274758,True
15,225,2,3,339608348,1.0,1.0,271750,True
15,225,2,3,339346199,1.0,1.0,198905,True
15,225,2,3,339411736,1.0,1.0,150477,True
15,225,2,3,339673885,1.0,1.0,265196,True
15,225,2,3,339280662,1.0,1.0,248059,True
15,225,2,3,339477273,1.0,1.0,171929,True
15,225,2,3,339346200,1.0,1.0,459785,True
15,225,2,3,339542810,1.0,1.0,148078,True
15,225,2,3,339739421,1.0,1.0,175832,True
15,225,2,3,339673884,1.0,1.0,197782,True
15,225,2,3,339608347,1.0,1.0,220505,True
15,225,2,3,339739422,1.0,1.0,515941,True
15,225,2,3,339804958,1.0,1.0,252193,True
15,225,2,3,339870495,1.0,1.0,310668,True
15,225,2,3,339477272,1.0,1.0,276156,True
15,225,2,3,339411735,1.0,1.0,334023,True
15,225,2,3,339608346,1.0,1.0,197261,True
15,225,2,3,339673883,1.0,1.0,180785,True
15,225,2,3,339804957,1.0,1.0,165973,True
15,225,2,3,339542809,1.0,1.0,337146,True
15,225,2,3,339870494,1.0,1.0,221471,True
15,225,2,3,340001568,1.0,1.0,141639,True
15,225,2,3,339739420,1.0,1.0,411099,True
15,225,2,3,339936031,1.0,1.0,310869,True
20,400,2,3,286393052,1.0,1.0,282378,True
20,400,2,3,286327515,1.0,1.0,294037,True
20,400,2,3,286458589,1.0,1.0,491528,True
20,400,2,3,286261978,1.0,1.0,526220,True
20,400,2,3,286851811,1.0,1.0,491797,True
20,400,2,3,286720737,1.0,1.0,507034,True
20,400,2,3,286589663,1.0,1.0,842808,True
20,400,2,3,337380107,1.0,1.0,661693,True
20,400,2,3,337445644,1.0,1.0,442565,True
20,400,2,3,286786274,1.0,1.0,787998,True
20,400,2,3,286655200,1.0,1.0,1010961,True
20,400,2,3,337707792,1.0,1.0,459060,True
20,400,2,3,286524126,1.0,1.0,1385506,True
20,400,2,3,337576718,1.0,1.0,757856,True
20,400,2,3,337969940,1.0,1.0,403406,True
20,400,2,3,337773329,1.0,1.0,634086,True
20,400,2,3,337838866,1.0,1.0,814551,True
20,400,2,3,337511181,1.0,1.0,1428787,True
20,400,2,3,337642255,1.0,1.0,1119387,True
20,400,2,3,337511180,1.0,1.0,683618,True
20,400,2,3,337838865,1.0,1.0,310566,True
20,400,2,3,337904403,1.0,1.0,1109260,True
20,400,2,3,337969939,1.0,1.0,301457,True
20,400,2,3,337707791,1.0,1.0,625397,True
20,400,2,3,337642254,1.0,1.0,798098,True
20,400,2,3,338035476,1.0,1.0,411286,True
20,400,2,3,337904402,1.0,1.0,674509,True
20,400,2,3,337773328,1.0,1.0,1051245,True
20,400,2,3,337707790,1.0,1.0,416735,True
20,400,2,3,337576717,1.0,1.0,1273744,True
20,400,2,3,337904401,1.0,1.0,535958,True
20,400,2,3,337773327,1.0,1.0,732769,True
20,400,2,3,337969938,1.0,1.0,471317,True
20,400,2,3,338101013,1.0,1.0,886089,True
20,400,2,3,337642253,1.0,1.0,939389,True
20,400,2,3,338101012,1.0,1.0,512171,True
20,400,2,3,338166549,1.0,1.0,389511,True
15,225,2,3,339149591,1.0,1.0,108282,True
20,400,2,3,338232086,1.0,1.0,664877,True
15,225,2,3,338952980,1.0,1.0,114596,True
15,225,2,3,339280666,1.0,1.0,195295,True
20,400,2,3,338035475,1.0,1.0,1166415,True
20,400,2,3,337838864,1.0,1.0,1525232,True
20,400,2,3,338035474,1.0,1.0,304299,True
20,400,2,3,337904400,1.0,1.0,629100,True
20,400,2,3,337838863,1.0,1.0,768642,True
15,225,2,3,339215128,1.0,1.0,126671,True
15,225,2,3,339018517,1.0,1.0,151812,True
20,400,2,3,337969937,1.0,1.0,431663,True
20,400,2,3,338101011,1.0,1.0,415392,True
15,225,2,3,338887443,1.0,1.0,246792,True
15,225,2,3,339084054,1.0,1.0,308744,True
20,400,2,3,338166548,1.0,1.0,472944,True
20,400,2,3,338363159,1.0,1.0,581214,True
20,400,2,3,337773326,1.0,1.0,1765723,True
20,400,2,3,337904399,1.0,1.0,732355,True
20,400,2,3,338166547,1.0,1.0,458098,True
20,400,2,3,338101010,1.0,1.0,654443,True
20,400,2,3,338232085,1.0,1.0,1028624,True
20,400,2,3,338035473,1.0,1.0,908709,True
15,225,2,3,339018516,1.0,1.0,196006,True
20,400,2,3,338363158,1.0,1.0,359885,True
15,225,2,3,339411739,1.0,1.0,205295,True
15,225,2,3,339149590,1.0,1.0,168368,True
15,225,2,3,339280665,1.0,1.0,144322,True
15,225,2,3,339477276,1.0,1.0,242062,True
20,400,2,3,338232084,1.0,1.0,800406,True
20,400,2,3,338428695,1.0,1.0,588201,True
15,225,2,3,339084053,1.0,1.0,393025,True
20,400,2,3,338297620,1.0,1.0,304196,True
20,400,2,3,338035472,1.0,1.0,463971,True
20,400,2,3,338101009,1.0,1.0,595916,True
15,225,2,3,339215127,1.0,1.0,228755,True
15,225,2,3,339346202,1.0,1.0,139485,True
20,400,2,3,338494232,1.0,1.0,754864,True
20,400,2,3,338297621,1.0,1.0,1006619,True
20,400,2,3,338166545,1.0,1.0,402990,True
20,400,2,3,338297622,1.0,1.0,1799502,True
20,400,2,3,337969936,1.0,1.0,1781718,True
20,400,2,3,338297619,1.0,1.0,323944,True
20,400,2,3,338232082,1.0,1.0,371660,True
20,400,2,3,338363157,1.0,1.0,595218,True
20,400,2,3,338428693,1.0,1.0,287035,True
20,400,2,3,338363156,1.0,1.0,413367,True
20,400,2,3,338625305,1.0,1.0,698886,True
20,400,2,3,338232083,1.0,1.0,797938,True
20,400,2,3,338494231,1.0,1.0,734484,True
20,400,2,3,338428692,1.0,1.0,247049,True
20,400,2,3,338559768,1.0,1.0,771895,True
20,400,2,3,338559767,1.0,1.0,443121,True
20,400,2,3,338690840,1.0,1.0,280898,True
20,400,2,3,338690841,1.0,1.0,561482,True
20,400,2,3,338756378,1.0,1.0,604051,True
20,400,2,3,338625303,1.0,1.0,487069,True
20,400,2,3,338297618,1.0,1.0,688920,True
20,400,2,3,338494229,1.0,1.0,516580,True
20,400,2,3,338363155,1.0,1.0,616411,True
20,400,2,3,338494230,1.0,1.0,927727,True
20,400,2,3,338559766,1.0,1.0,642718,True
20,400,2,3,338756377,1.0,1.0,519356,True
20,400,2,3,338428694,1.0,1.0,1313371,True
20,400,2,3,338166546,1.0,1.0,1695211,True
20,400,2,3,338821914,1.0,1.0,649234,True
20,400,2,3,338756376,1.0,1.0,398726,True
20,400,2,3,338625304,1.0,1.0,1145481,True
20,400,2,3,338559765,1.0,1.0,529715,True
20,400,2,3,339018524,1.0,1.0,428656,True
20,400,2,3,338887450,1.0,1.0,432904,True
20,400,2,3,338428691,1.0,1.0,630247,True
20,400,2,3,338887451,1.0,1.0,903615,True
20,400,2,3,338625302,1.0,1.0,713234,True
20,400,2,3,338952987,1.0,1.0,790770,True
20,400,2,3,338690839,1.0,1.0,961614,True
20,400,2,3,338821913,1.0,1.0,1063787,True
20,400,2,3,338494228,1.0,1.0,1569252,True
30,900,2,3,286786271,1.0,1.0,2153263,True
30,900,2,3,337773325,1.0,1.0,1678208,True
30,900,2,3,286720734,1.0,1.0,2613709,True
30,900,2,3,287048419,1.0,1.0,2704069,True
30,900,2,3,337838862,1.0,1.0,2684166,True
30,900,2,3,337969936,1.0,1.0,2820120,True
30,900,2,3,287113956,1.0,1.0,3568104,True
30,900,2,3,338101010,1.0,1.0,1774534,True
30,900,2,3,286982882,1.0,1.0,3928224,True
30,900,2,3,286917345,1.0,1.0,4868148,True
30,900,2,3,337707788,1.0,1.0,5007609,True
30,900,2,3,286851808,1.0,1.0,5375105,True
30,900,2,3,337904398,1.0,1.0,1660857,True
30,900,2,3,286655197,1.0,1.0,5936152,True
30,900,2,3,286524123,1.0,1.0,6148261,True
30,900,2,3,337904399,1.0,1.0,5462155,True
30,900,2,3,338035473,1.0,1.0,4004542,True
30,900,2,3,286589660,1.0,1.0,6995294,True
30,900,2,3,338035472,1.0,1.0,2806414,True
30,900,2,3,338297621,1.0,1.0,3751426,True
30,900,2,3,338166547,1.0,1.0,4698427,True
30,900,2,3,338363157,1.0,1.0,2113406,True
30,900,2,3,338232083,1.0,1.0,2719510,True
30,900,2,3,338297620,1.0,1.0,2780039,True
30,900,2,3,338166546,1.0,1.0,3279022,True
30,900,2,3,337838861,1.0,1.0,5052446,True
30,900,2,3,338035471,1.0,1.0,2810254,True
30,900,2,3,338101009,1.0,1.0,4319154,True
30,900,2,3,337969934,1.0,1.0,3287118,True
30,900,2,3,338101008,1.0,1.0,3142333,True
30,900,2,3,338428694,1.0,1.0,4304119,True
30,900,2,3,338297619,1.0,1.0,3264763,True
30,900,2,3,338101007,1.0,1.0,1579976,True
30,900,2,3,338166544,1.0,1.0,1893974,True
30,900,2,3,337969935,1.0,1.0,7060199,True
30,900,2,3,338232084,1.0,1.0,8675730,True
30,900,2,3,338166545,1.0,1.0,4628279,True
30,900,2,3,338363155,1.0,1.0,1846092,True
30,900,2,3,338494230,1.0,1.0,3605968,True
30,900,2,3,338232081,1.0,1.0,3095096,True
30,900,2,3,338428693,1.0,1.0,4374461,True
30,900,2,3,338363156,1.0,1.0,4814924,True
30,900,2,3,338232082,1.0,1.0,5623097,True
30,900,2,3,338559767,1.0,1.0,4449890,True
30,900,2,3,338428692,1.0,1.0,2909867,True
30,900,2,3,338232080,1.0,1.0,2247182,True
30,900,2,3,338625303,1.0,1.0,2792800,True
30,900,2,3,338428691,1.0,1.0,1911044,True
30,900,2,3,338363154,1.0,1.0,2401206,True
30,900,2,3,338559765,1.0,1.0,2139632,True
30,900,2,3,338756376,1.0,1.0,1892157,True
30,900,2,3,338494229,1.0,1.0,4655719,True
30,900,2,3,338494228,1.0,1.0,2688403,True
30,900,2,3,338690839,1.0,1.0,2437167,True
30,900,2,3,338363153,1.0,1.0,1741608,True
30,900,2,3,338690840,1.0,1.0,4534584,True
30,900,2,3,338625302,1.0,1.0,2991463,True
30,900,2,3,338625301,1.0,1.0,1046866,True
30,900,2,3,338297618,1.0,1.0,6482060,True
30,900,2,3,338297617,1.0,1.0,5490334,True
30,900,2,3,338428690,1.0,1.0,2768682,True
30,900,2,3,338690838,1.0,1.0,2017491,True
30,900,2,3,338756375,1.0,1.0,1918158,True
30,900,2,3,338559764,1.0,1.0,2643565,True
30,900,2,3,338821912,1.0,1.0,2290215,True
30,900,2,3,338559766,1.0,1.0,8372761,True
30,900,2,3,338494226,1.0,1.0,2982672,True
30,900,2,3,338494227,1.0,1.0,4503110,True
30,900,2,3,338952986,1.0,1.0,3310586,True
30,900,2,3,338559763,1.0,1.0,3262867,True
