L,q,F,h,T,m,s_max,s_mean,steps_to_const,is_constant,avg_mobility
30,10,3,0.05,0.7,10,1.0,1.0,1000001,True,0.0
30,10,3,0.5,0.3,3,0.7711111111111111,0.1111111111111111,1000001,True,0.0
30,10,3,0.5,0.3,4,0.9822222222222222,0.14285714285714288,1000001,True,0.0
30,10,3,0.5,0.3,5,0.26222222222222225,0.05555555555555555,1000001,True,0.0
30,10,3,0.5,0.3,6,0.98,0.25,1000001,True,0.0
30,10,3,0.5,0.3,7,0.48,0.05555555555555555,1000001,True,0.0
30,10,3,0.5,0.3,8,0.98,0.25,1000001,True,0.0
30,10,3,0.5,0.3,9,0.8288888888888889,0.14285714285714288,1000001,True,0.0
30,10,3,0.5,0.3,10,0.9933333333333333,0.3333333333333333,1000001,True,0.0
30,10,3,0.5,0.7,1,0.05555555555555555,0.011235955056179777,1000001,True,0.0
30,10,3,0.5,0.7,2,0.03777777777777778,0.012048192771084338,1000001,True,0.0
30,10,3,0.5,0.7,3,0.04888888888888889,0.012048192771084338,1000001,True,0.0
30,10,3,0.5,0.7,4,0.057777777777777775,0.0136986301369863,1000001,True,0.0
30,10,3,0.5,0.7,6,0.057777777777777775,0.0125,1000001,True,0.0
30,10,3,0.5,0.7,5,0.042222222222222223,0.010752688172043012,1000001,True,0.0
30,10,3,0.5,0.7,7,0.04888888888888889,0.013157894736842106,1000001,True,0.0
30,10,3,0.5,0.7,8,0.042222222222222223,0.012345679012345678,1000001,True,0.0
30,10,3,0.5,0.7,10,0.04666666666666667,0.010752688172043012,1000001,True,0.0
30,10,3,0.5,0.7,9,0.044444444444444446,0.011363636363636362,1000001,True,0.0
40,10,3,0.05,0.3,1,1.0,1.0,1000001,True,0.0
40,10,3,0.05,0.3,2,1.0,1.0,1000001,True,0.0
40,10,3,0.05,0.3,3,1.0,1.0,1000001,True,0.0
40,10,3,0.05,0.3,5,1.0,1.0,1000001,True,0.0
40,10,3,0.05,0.3,4,1.0,1.0,1000001,True,0.0
40,10,3,0.05,0.3,6,0.9986842105263158,0.5,1000001,True,0.0
40,10,3,0.05,0.3,7,1.0,1.0,1000001,True,0.0
40,10,3,0.05,0.3,10,1.0,1.0,1000001,True,0.0
40,10,3,0.05,0.3,8,0.9980263157894737,0.33333333333333337,1000001,True,0.0
40,10,3,0.05,0.3,9,1.0,1.0,1000001,True,0.0
40,10,3,0.05,0.7,1,1.0,1.0,1000001,True,0.0
40,10,3,0.5,0.3,2,0.995,0.25,1000001,True,0.0
40,10,3,0.5,0.3,3,0.99875,0.5,1000001,True,0.0
40,10,3,0.5,0.3,1,0.99625,0.25,1050001,True,0.0015211249999990892
40,10,3,0.05,0.7,2,1.0,1.0,1000001,True,0.0
40,10,3,0.05,0.7,3,1.0,1.0,1000001,True,0.0
40,10,3,0.05,0.7,4,0.9782894736842105,0.5,1000001,True,0.0
40,10,3,0.05,0.7,5,1.0,1.0,1000001,True,0.0
40,10,3,0.05,0.7,7,1.0,1.0,1000001,True,0.0
40,10,3,0.05,0.7,6,1.0,1.0,1000001,True,0.0
40,10,3,0.05,0.7,9,1.0,1.0,1000001,True,0.0
40,10,3,0.05,0.7,8,1.0,1.0,1000001,True,0.0
40,10,3,0.05,0.7,10,1.0,1.0,1000001,True,0.0
10,20,3,0.05,0.3,1,0.8421052631578947,0.07692307692307693,1050001,True,0.15447705263167974
10,20,3,0.05,0.3,2,0.3263157894736842,0.05263157894736842,1050001,True,0.2473227368421136
10,20,3,0.05,0.3,4,0.4421052631578947,0.09090909090909091,1050001,True,0.21906063157901948
10,20,3,0.05,0.3,3,0.45263157894736844,0.027027027027027025,1050001,True,0.555142736841761
10,20,3,0.05,0.3,5,0.25263157894736843,0.025,1050001,True,0.7189044210526605
10,20,3,0.05,0.3,6,0.8421052631578947,0.25,1050001,True,0.09527515789474601
10,20,3,0.05,0.3,7,0.35789473684210527,0.029411764705882353,1050001,True,0.6359726315791153
10,20,3,0.05,0.3,8,0.7052631578947368,0.08333333333333334,1050001,True,0.26690863157888217
10,20,3,0.05,0.3,10,0.8842105263157894,0.1111111111111111,1050001,True,0.13247789473677252
10,20,3,0.05,0.3,9,0.6,0.034482758620689655,1050001,True,0.4463507368423909
10,20,3,0.05,0.7,1,0.42105263157894735,0.14285714285714285,1050001,True,0.019607368421055007
10,20,3,0.05,0.7,2,0.5473684210526316,0.16666666666666669,1050001,True,0.022028000000005394
10,20,3,0.05,0.7,3,0.4631578947368421,0.1111111111111111,1050001,True,0.06783178947367198
10,20,3,0.05,0.7,4,0.4,0.09090909090909091,1050001,True,0.04871621052630874
10,20,3,0.05,0.7,5,0.5157894736842106,0.08333333333333334,1050001,True,0.05602757894736064
10,20,3,0.05,0.7,6,0.3894736842105263,0.16666666666666669,1050001,True,0.010526315789478909
10,20,3,0.05,0.7,7,0.3157894736842105,0.06666666666666667,1050001,True,0.09880821052633382
10,20,3,0.05,0.7,8,0.4,0.07692307692307693,1050001,True,0.10665557894739647
10,20,3,0.5,0.3,1,0.48,0.07692307692307693,1050001,True,0.4070799999999105
10,20,3,0.05,0.7,9,0.5578947368421052,0.1111111111111111,1050001,True,0.04791663157893828
10,20,3,0.05,0.7,10,0.25263157894736843,0.08333333333333334,1050001,True,0.06872336842103649
10,20,3,0.5,0.3,2,0.08,0.029411764705882356,1050001,True,0.8626915999998936
10,20,3,0.5,0.3,3,0.08,0.02857142857142857,1050001,True,0.8291127999999038
10,20,3,0.5,0.3,4,0.14,0.03225806451612903,1050001,True,0.7144508000000336
10,20,3,0.5,0.3,6,0.4,0.05555555555555555,1050001,True,0.4263331999999024
10,20,3,0.5,0.3,5,0.1,0.03125,1050001,True,0.7743715999999625
10,20,3,0.5,0.3,8,0.16,0.038461538461538464,1050001,True,0.6906868000000501
10,20,3,0.5,0.3,7,0.08,0.025641025641025644,1050001,True,0.9033307999998647
10,20,3,0.5,0.3,9,0.46,0.045454545454545456,1050001,True,0.45633279999989246
10,20,3,0.5,0.3,10,0.44,0.05882352941176471,1050001,True,0.40843079999991233
10,20,3,0.5,0.7,1,0.12,0.07142857142857144,1050001,True,0.03999999999997522
10,20,3,0.5,0.7,2,0.14,0.08333333333333334,1050001,True,0.03999999999997522
10,20,3,0.5,0.7,3,0.18,0.08333333333333334,1050001,True,0.03999999999997522
10,20,3,0.5,0.7,4,0.22,0.09090909090909091,1050001,True,0.01999999999998761
10,20,3,0.5,0.7,5,0.16,0.08333333333333334,1050001,True,0.01999999999998761
10,20,3,0.5,0.7,6,0.14,0.07142857142857144,1050001,True,0.01999999999998761
40,10,3,0.5,0.3,4,0.99875,0.5,1000001,True,0.0
40,10,3,0.5,0.3,6,0.68125,0.08333333333333334,1000001,True,0.0
40,10,3,0.5,0.3,5,0.72125,0.08333333333333334,1000001,True,0.0
10,20,3,0.5,0.7,7,0.22,0.08333333333333334,1050001,True,0.061316399999954425
