width,N,q,F,h,T,seed,s_max,s_mean,steps_to_freeze,is_frozen,avg_mobility
10,100,40,3,0.05,0.8,18206003142896996070,0.17894736842105263,0.038461538461538464,352065,True,0.09473684210526317
10,100,20,3,0.5,0.8,7637766495658758077,0.14,0.06666666666666667,218229,True,0.04
30,900,8000,3,0.5,0.2,10147445102317577499,0.0022222222222222222,0.0022222222222222222,1800003,True,1.0
40,1600,8000,3,0.5,0.5,16636669555377509982,0.00125,0.00125,3200000,True,1.0
10,100,80,3,0.5,0.5,8914709040173364158,0.02,0.02,214196,True,0.9978800000000001
30,900,800,3,0.05,0.8,17277663871060267164,0.016374269005847954,0.0022222222222222222,98005652,True,0.36886198830409345
30,900,400,3,0.05,0.5,7807878154469658784,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
10,100,3200,3,0.5,0.5,13763246312508853783,0.02,0.02,200003,True,1.0
10,100,40,3,0.05,0.2,1882111206629436468,0.010526315789473684,0.010526315789473684,200000,True,1.0
30,900,20,3,0.05,0.5,13381786224801335908,0.0023391812865497076,0.0011709601873536298,100000000,False,-1.0
30,900,600,3,0.5,0.2,15596422571293398002,0.0022222222222222222,0.0022222222222222222,1800002,True,1.0
30,900,120,3,0.05,0.5,1532274633301862785,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
30,900,200,3,0.05,0.8,9283326700131803638,0.023391812865497075,0.006802721088435374,33404857,True,0.029239766081871343
40,1600,1200,3,0.05,0.8,4126235441941813742,0.0013157894736842105,0.0006583278472679395,4661384,True,0.9986769736842103
30,900,400,3,0.05,0.5,9829857201680293210,0.0011695906432748538,0.0011695906432748538,1800000,True,1.0
10,100,10,3,0.05,0.5,5481504983613754336,0.021052631578947368,0.010638297872340427,100000000,False,-1.0
10,100,120,3,0.05,0.8,8874275418821022654,0.10526315789473684,0.016666666666666666,564897,True,0.504863157894737
10,100,40,3,0.05,0.2,16832110382177132009,0.010526315789473684,0.010526315789473684,200000,True,1.0
40,1600,600,3,0.5,0.5,3995901733158563069,0.00125,0.00125,4593666,True,0.99999
40,1600,4800,3,0.05,0.5,6045667447606319731,0.0006578947368421052,0.0006578947368421052,3200000,True,1.0
20,400,10,3,0.05,0.5,13587011255417650991,0.005263157894736842,0.002645502645502646,100000000,False,-1.0
20,400,20,3,0.5,0.5,493218013528525285,0.33,0.06666666666666667,5488325,True,0.0
20,400,1200,3,0.5,0.2,12333386915521798864,0.005,0.005,800001,True,1.0
