C,F,L,N,alpha,converged,degree_variance,dev_mode,dev_param,dis_threshold,elapsed_s,final_rewire_rate,k,max_steps,mean_dissatisfaction,num_clusters,p,q,s_max,seed,total_steps,trial_id,weight_mode
0.17701587301587302,5,4.084298584298584,150,1.0,False,1.6666666666666667,3,0.15,0.7,1.8693813999998383,-1.0,4,5000000,0.009149731455458625,3,0.05,10,0.9866666666666667,42,5000000,ed8807f3c457,2
0.32266666666666677,5,4.943713646532438,150,1.0,False,0.7866666666666666,0,0.15,0.7,1.8509150999889243,-1.0,4,5000000,0.0,1,0.05,10,1.0,42,5000000,03227173243a,3
0.06968142578668893,5,3.6370397242880466,150,1.0,False,8.0,2,0.15,0.7,1.9456779999891296,-1.0,4,5000000,0.0,2,0.05,10,0.9933333333333333,42,5000000,de32ac2e4c55,3
0.2828253968253969,5,4.745234899328859,150,1.0,False,0.64,3,0.15,0.7,1.8432242999842856,-1.0,4,5000000,0.0,1,0.05,10,1.0,42,5000000,3a05fe5618f8,3
0.09719047619047619,5,3.822456813819578,150,2.0,False,5.585955555555547,0,0.15,0.3,1.5241982000006828,-1.0,4,5000000,0.36820143157122087,122,0.05,10,0.08,42,5000000,e936a1257a20,0
0.06436559139784948,5,3.711832946635731,150,2.0,False,7.276622222222218,2,0.15,0.3,1.5388068000029307,-1.0,4,5000000,0.17047604623619386,78,0.05,10,0.44,42,5000000,c7e0e950dfed,0
0.11004795285230064,5,3.2625623960066554,150,2.0,False,9.641955555555548,3,0.15,0.3,1.6214136999915354,-1.0,4,5000000,0.4192727147188401,106,0.05,10,0.08,42,5000000,38798643bf09,0
0.004804232804232804,5,3.9061297539149886,150,2.0,False,5.573333333333333,0,0.15,0.3,1.8997531000059098,-1.0,4,5000000,0.003005528816402603,1,0.05,10,1.0,42,5000000,d6e88c04102d,2
0.0656989247311828,5,3.552867383512545,150,2.0,False,7.321600000000003,2,0.15,0.3,1.585698799986858,-1.0,4,5000000,0.09375850021940463,73,0.05,10,0.44,42,5000000,65a8bb7fee55,2
0.013647056647056649,5,3.5692017005196033,150,2.0,False,8.16,3,0.15,0.3,1.8934142000216525,-1.0,4,5000000,0.0035978647985464114,5,0.05,10,0.9733333333333334,42,5000000,b58beb069295,2
0.14604761904761906,5,4.099239373601789,150,2.0,False,1.6533333333333333,0,0.15,0.3,1.8726750000205357,-1.0,4,5000000,0.0,1,0.05,10,1.0,42,5000000,ae2ff0b5c499,3
0.13738547533708825,5,2.2764568764568764,150,2.0,False,20.448888888888916,2,0.15,0.3,1.4649884000245947,-1.0,4,5000000,0.0,85,0.05,10,0.44,42,5000000,dc9ec44e8cae,3
0.10585714285714279,5,3.888445492472338,150,2.0,False,2.6533333333333333,3,0.15,0.3,1.879827299999306,-1.0,4,5000000,0.0,2,0.05,10,0.9933333333333333,42,5000000,b133a4556cb6,3
0.10154928400196941,5,2.832284339133654,150,2.0,False,14.895288888888873,0,0.15,0.5,1.506330899981549,-1.0,4,5000000,0.5638307794718674,115,0.05,10,0.05333333333333334,42,5000000,7038ba3682e0,0
0.07040860215053762,5,3.573563755254554,150,2.0,False,7.0579555555555755,2,0.15,0.5,1.6024347000056878,-1.0,4,5000000,0.2897588174563397,61,0.05,10,0.3933333333333333,42,5000000,f0ea63ff54dc,0
0.08571348404681736,5,2.7994808565866323,150,2.0,False,8.591288888888892,3,0.15,0.5,1.3477546999929473,-1.0,4,5000000,0.1339674679244437,94,0.05,10,0.37333333333333335,42,5000000,f19974645ecb,0
0.10631746031746027,5,3.9514988814317675,150,2.0,False,2.32,0,0.15,0.5,1.8730380999913905,-1.0,4,5000000,0.014365829902095669,1,0.05,10,1.0,42,5000000,09f9c85b5b7d,2
0.1693375576036866,5,4.61158548418397,150,2.0,False,13.633599999999992,2,0.15,0.5,1.9323447000060696,-1.0,4,5000000,0.11567757926844675,15,0.05,10,0.5066666666666667,42,5000000,183cdd48f9e4,2
0.11736507936507934,5,3.959642058165548,150,2.0,False,2.0,3,0.15,0.5,1.8262283999938518,-1.0,4,5000000,0.012775335485262834,1,0.05,10,1.0,42,5000000,3b8937e80c3f,2
0.33977777777777796,5,5.048680089485458,150,2.0,False,0.5866666666666667,0,0.15,0.5,1.8576262000133283,-1.0,4,5000000,0.0,1,0.05,10,1.0,42,5000000,20e3cac5ce0f,3
